model,seed,condition,cohort,family_id,nll,token_count
transformer_s,0,clean,treated,family_d1a92696717aa9c2,0.6700702103025274,3093
transformer_s,0,clean,treated,family_3835425eafb00035,0.9473190961993838,1216
transformer_s,0,clean,treated,family_a534382ff42b71fb,0.7414445437273933,412
transformer_s,0,clean,treated,family_6d17de7e325f25f8,0.5776083868388366,4197
transformer_s,0,clean,treated,family_56b1bf9100abf79a,0.5603382346030225,779
transformer_s,0,clean,treated,family_9edbfcdbf27d8472,1.3604170041636756,15674
transformer_s,0,clean,treated,family_db6398f302f77cb4,0.3880156380645139,3153
transformer_s,0,clean,treated,family_776fb0c74fb6af96,0.6718198087102558,10203
transformer_s,0,clean,treated,family_be459453ebdfa1da,0.842087296006063,1748
transformer_s,0,clean,treated,family_439fc19617b55d44,0.6935007076698929,3230
transformer_s,0,clean,treated,family_328dc279bafe7f69,0.6249905006261542,2560
transformer_s,0,clean,treated,family_ac0566dd944bc201,0.9227959887623443,3803
transformer_s,0,clean,treated,family_3fbe0e330aecdc00,0.8812233209609985,477
transformer_s,0,clean,treated,family_04795413b15e0b98,0.8474784219129519,704
transformer_s,0,clean,treated,family_348b29b5f47eda18,1.0773991427589409,1108
transformer_s,0,clean,treated,family_f77d449f1658a159,1.2089835458871712,8731
transformer_s,0,clean,treated,family_39849966d6043c11,1.2315760850906372,242
transformer_s,0,clean,treated,family_af212e596b07120e,1.069866324625921,3169
transformer_s,0,clean,treated,family_2d3e3d92f30c4369,0.5110737133287703,9069
transformer_s,0,clean,treated,family_f0c0dd7c2f3b6a3f,0.647053816092057,1674
transformer_s,0,clean,treated,family_5aaa5f6f546aa704,0.9901216111715325,2491
transformer_s,0,clean,treated,family_78031f033e192cce,0.9915793509942041,5759
transformer_s,0,clean,treated,family_961cefc620e3d5ab,0.7568785548210144,467
transformer_s,0,clean,treated,family_fe2836cc1cef695c,0.8755316631995365,3303
transformer_s,0,clean,treated,family_0f71c7e0830e1d85,1.1205880029069024,9124
transformer_s,0,clean,treated,family_2dbafe5054d4bee7,0.38822031115465316,6286
transformer_s,0,clean,treated,family_52885ec61f0240b9,0.7273119197241291,14987
transformer_s,0,clean,treated,family_b88eee6ecd7ef6bc,0.8864242124360996,5460
transformer_s,0,clean,treated,family_de67cf52f9a2ce89,1.1766058070265697,20432
transformer_s,0,clean,treated,family_7b8c8789f38183da,1.1115782882067302,854
transformer_s,0,clean,treated,family_774f10d6c3d75980,0.8375827459538984,10665
transformer_s,0,clean,treated,family_6fbe37a0a6611f64,0.6871515173247248,29458
transformer_s,0,clean,treated,family_c64269798048b60f,0.7545016407489815,12501
