model,condition,family_id,metric,value
transformer_l,clean,family_e3c89d0945320ec5,family_reference_longest_normalized_span,0.07395833333333333
transformer_l,unrelated_donor,family_e3c89d0945320ec5,family_reference_longest_normalized_span,0.065625
transformer_l,same_family_donor,family_e3c89d0945320ec5,family_reference_longest_normalized_span,0.07552083333333333
transformer_l,clean,family_5facacfb4d33d062,family_reference_longest_normalized_span,0.08020833333333334
transformer_l,unrelated_donor,family_5facacfb4d33d062,family_reference_longest_normalized_span,0.0828125
transformer_l,same_family_donor,family_5facacfb4d33d062,family_reference_longest_normalized_span,0.07708333333333332
transformer_l,clean,family_15b8f6d235825863,family_reference_longest_normalized_span,0.059895833333333336
transformer_l,unrelated_donor,family_15b8f6d235825863,family_reference_longest_normalized_span,0.06354166666666666
transformer_l,same_family_donor,family_15b8f6d235825863,family_reference_longest_normalized_span,0.06614583333333333
transformer_l,clean,family_78031f033e192cce,family_reference_longest_normalized_span,0.10312500000000001
transformer_l,unrelated_donor,family_78031f033e192cce,family_reference_longest_normalized_span,0.12083333333333333
transformer_l,same_family_donor,family_78031f033e192cce,family_reference_longest_normalized_span,0.14114583333333333
transformer_l,clean,family_debbecc1e7f77f3e,family_reference_longest_normalized_span,0.1140625
transformer_l,unrelated_donor,family_debbecc1e7f77f3e,family_reference_longest_normalized_span,0.1015625
transformer_l,same_family_donor,family_debbecc1e7f77f3e,family_reference_longest_normalized_span,0.12812500000000002
transformer_l,clean,family_5d6a15b20dff7233,family_reference_longest_normalized_span,0.08489583333333332
transformer_l,unrelated_donor,family_5d6a15b20dff7233,family_reference_longest_normalized_span,0.07447916666666667
transformer_l,same_family_donor,family_5d6a15b20dff7233,family_reference_longest_normalized_span,0.09999999999999999
transformer_l,clean,family_58a5b18cf3751bf1,family_reference_longest_normalized_span,0.09218749999999999
transformer_l,unrelated_donor,family_58a5b18cf3751bf1,family_reference_longest_normalized_span,0.10052083333333334
transformer_l,same_family_donor,family_58a5b18cf3751bf1,family_reference_longest_normalized_span,0.11822916666666666
transformer_l,clean,family_da2cbb03fa208ffc,family_reference_longest_normalized_span,0.03333333333333333
transformer_l,unrelated_donor,family_da2cbb03fa208ffc,family_reference_longest_normalized_span,0.035937500000000004
transformer_l,same_family_donor,family_da2cbb03fa208ffc,family_reference_longest_normalized_span,0.034895833333333334
transformer_l,clean,family_b3ba3218de08f591,family_reference_longest_normalized_span,0.05885416666666667
transformer_l,unrelated_donor,family_b3ba3218de08f591,family_reference_longest_normalized_span,0.056770833333333326
transformer_l,same_family_donor,family_b3ba3218de08f591,family_reference_longest_normalized_span,0.06354166666666668
transformer_l,clean,family_9edbfcdbf27d8472,family_reference_longest_normalized_span,0.05781250000000001
transformer_l,unrelated_donor,family_9edbfcdbf27d8472,family_reference_longest_normalized_span,0.05937499999999999
transformer_l,same_family_donor,family_9edbfcdbf27d8472,family_reference_longest_normalized_span,0.059895833333333336
transformer_l,clean,family_76f3986b08ecfc19,family_reference_longest_normalized_span,0.07447916666666667
transformer_l,unrelated_donor,family_76f3986b08ecfc19,family_reference_longest_normalized_span,0.08645833333333335
