paradigm,seed,condition,metric,token_count,family_id,family_order
conditional_vae,202608040,clean,0.7084476762013724,3093,family_d1a92696717aa9c2,19
conditional_vae,202608040,clean,0.9580286741256714,1216,family_3835425eafb00035,74
conditional_vae,202608040,clean,0.6570905447006226,412,family_a534382ff42b71fb,88
conditional_vae,202608040,clean,0.5734655068606345,4197,family_6d17de7e325f25f8,63
conditional_vae,202608040,clean,0.5618543028831482,779,family_56b1bf9100abf79a,25
conditional_vae,202608040,clean,1.3812035627019517,15674,family_9edbfcdbf27d8472,9
conditional_vae,202608040,clean,0.3706328064685317,3153,family_db6398f302f77cb4,77
conditional_vae,202608040,clean,0.753376426246252,10203,family_776fb0c74fb6af96,24
conditional_vae,202608040,clean,0.8484714031219482,1748,family_be459453ebdfa1da,87
conditional_vae,202608040,clean,0.7045205774322014,3230,family_439fc19617b55d44,37
conditional_vae,202608040,clean,0.6557867591734976,2560,family_328dc279bafe7f69,28
conditional_vae,202608040,clean,0.9031155109405518,3803,family_ac0566dd944bc201,41
conditional_vae,202608040,clean,0.911358654499054,477,family_3fbe0e330aecdc00,67
conditional_vae,202608040,clean,0.8479740619659424,704,family_04795413b15e0b98,79
conditional_vae,202608040,clean,1.1238837242126465,1108,family_348b29b5f47eda18,21
conditional_vae,202608040,clean,1.20341509160765,8731,family_f77d449f1658a159,35
conditional_vae,202608040,clean,1.3050259351730347,242,family_39849966d6043c11,48
conditional_vae,202608040,clean,1.0432187290776975,3169,family_af212e596b07120e,52
conditional_vae,202608040,clean,0.5375692918526981,9069,family_2d3e3d92f30c4369,82
conditional_vae,202608040,clean,0.692797064781189,1674,family_f0c0dd7c2f3b6a3f,90
conditional_vae,202608040,clean,0.8815270066261292,2491,family_5aaa5f6f546aa704,11
conditional_vae,202608040,clean,0.9002193143268823,5759,family_78031f033e192cce,3
conditional_vae,202608040,clean,0.7534477710723877,467,family_961cefc620e3d5ab,53
conditional_vae,202608040,clean,0.823272627373735,3303,family_fe2836cc1cef695c,42
conditional_vae,202608040,clean,1.066872394598403,9124,family_0f71c7e0830e1d85,86
conditional_vae,202608040,clean,0.3744557653211538,6286,family_2dbafe5054d4bee7,54
conditional_vae,202608040,clean,0.6270535283340991,14987,family_52885ec61f0240b9,96
conditional_vae,202608040,clean,0.8648062554471222,5460,family_b88eee6ecd7ef6bc,46
conditional_vae,202608040,clean,1.1407744007107796,20432,family_de67cf52f9a2ce89,29
conditional_vae,202608040,clean,1.0698246955871582,854,family_7b8c8789f38183da,38
conditional_vae,202608040,clean,0.8309913277681926,10665,family_774f10d6c3d75980,17
conditional_vae,202608040,clean,0.7500449162335978,29458,family_6fbe37a0a6611f64,73
conditional_vae,202608040,clean,0.7253830441140469,12501,family_c64269798048b60f,93
conditional_vae,202608040,clean,0.8422667377182858,8558,family_f60bd4cc83d02add,84
conditional_vae,202608040,clean,0.9851420521736145,61,family_39f58e2fd604c61e,51
conditional_vae,202608040,clean,0.6372637748718262,1918,family_101bf32d18499c7d,95
conditional_vae,202608040,clean,1.1046580076217651,156,family_e97b637c75aac2b5,89
conditional_vae,202608040,clean,1.263710829183293,12995,family_e2c30beb0d4abeae,66
conditional_vae,202608040,clean,1.013155033755334,3028,family_581cf690b70ed77f,30
conditional_vae,202608040,clean,1.1108523370034873,1789,family_9ccd2f467361ebab,44
conditional_vae,202608040,clean,0.5271246415425757,8256,family_6342008bae187399,83
conditional_vae,202608040,clean,0.9594169855117798,266,family_8661140073b6a2ab,97
conditional_vae,202608040,clean,0.6944521315514095,1890,family_1a8ff9e18d3eabea,16
conditional_vae,202608040,clean,0.7931419289580268,8479,family_b324bd83d2be3825,58
conditional_vae,202608040,clean,0.7460461258888245,725,family_23e85181dd747797,99
conditional_vae,202608040,clean,1.3610292173377656,9580,family_b3ba3218de08f591,8
conditional_vae,202608040,clean,0.5604687353178209,6949,family_38ddaabf01adae92,12
conditional_vae,202608040,clean,0.715133786201477,945,family_5405158fe7a3977d,71
conditional_vae,202608040,clean,0.5220638513565063,336,family_e4e4467ef74cc720,57
conditional_vae,202608040,clean,1.1176432371139526,1037,family_4f1b63b3eef9f7d0,75
conditional_vae,202608040,clean,0.9201357364654541,522,family_7a300c986fbfa9f2,18
conditional_vae,202608040,clean,1.1803947687149048,463,family_6f0024d47bda9a44,45
conditional_vae,202608040,clean,0.47539833188056946,1191,family_746d1e0c3274827f,62
conditional_vae,202608040,clean,1.0172197818756104,1084,family_6a42731481dda124,56
conditional_vae,202608040,clean,1.5592819103474995,15697,family_0ecded087f80d73b,61
conditional_vae,202608040,clean,0.6898918029333073,5721,family_5facacfb4d33d062,1
conditional_vae,202608040,clean,0.6542684435844421,251,family_5cc4efa05e4dc250,13
conditional_vae,202608040,clean,1.0351851737254214,17077,family_4731a6d05dff34ce,15
conditional_vae,202608040,clean,1.0283257040854232,5610,family_c3ae851031cec2bb,91
conditional_vae,202608040,clean,0.8241140804414894,48674,family_30fbd9977a220042,81
conditional_vae,202608040,clean,0.8991649746894836,508,family_e3c89d0945320ec5,0
conditional_vae,202608040,clean,1.2653563022613525,639,family_f99e7467cfd91d72,23
conditional_vae,202608040,clean,1.0307703018188477,3294,family_0a0ff01b239a934a,55
