seed,condition,family_id,nll,token_count,family_order
202608040,clean,family_d1a92696717aa9c2,0.595659978675719,3093,19
202608040,clean,family_3835425eafb00035,0.8436327519287404,1216,74
202608040,clean,family_a534382ff42b71fb,0.4931516745715465,412,88
202608040,clean,family_6d17de7e325f25f8,0.45652224082647974,4197,63
202608040,clean,family_56b1bf9100abf79a,0.4659819711616624,779,25
202608040,clean,family_9edbfcdbf27d8472,1.3337136916592822,15674,9
202608040,clean,family_db6398f302f77cb4,0.3329832045815689,3153,77
202608040,clean,family_776fb0c74fb6af96,0.6620558616514008,10203,24
202608040,clean,family_be459453ebdfa1da,0.7610906802066676,1748,87
202608040,clean,family_439fc19617b55d44,0.599798005035049,3230,37
202608040,clean,family_328dc279bafe7f69,0.5809831006918103,2560,28
202608040,clean,family_ac0566dd944bc201,0.8684296486661712,3803,41
202608040,clean,family_3fbe0e330aecdc00,0.7930199503898621,477,67
202608040,clean,family_04795413b15e0b98,0.8960037835958329,704,79
202608040,clean,family_348b29b5f47eda18,1.0575656678379657,1108,21
202608040,clean,family_f77d449f1658a159,1.086049469308391,8731,35
202608040,clean,family_39849966d6043c11,1.132699966430664,242,48
202608040,clean,family_af212e596b07120e,0.9232067484026566,3169,52
202608040,clean,family_2d3e3d92f30c4369,0.5130190061936635,9069,82
202608040,clean,family_f0c0dd7c2f3b6a3f,0.5394525970894234,1674,90
202608040,clean,family_5aaa5f6f546aa704,0.9743989471545041,2491,11
202608040,clean,family_78031f033e192cce,0.7260915044385291,5759,3
202608040,clean,family_961cefc620e3d5ab,0.7557066082954407,467,53
202608040,clean,family_fe2836cc1cef695c,0.771506408155596,3303,42
202608040,clean,family_0f71c7e0830e1d85,1.1019518059865783,9124,86
202608040,clean,family_2dbafe5054d4bee7,0.314439261687734,6286,54
202608040,clean,family_52885ec61f0240b9,0.7273850894347356,14987,96
202608040,clean,family_b88eee6ecd7ef6bc,0.8066213990087474,5460,46
202608040,clean,family_de67cf52f9a2ce89,1.1249416600927395,20432,29
202608040,clean,family_7b8c8789f38183da,1.0253779192998203,854,38
202608040,clean,family_774f10d6c3d75980,0.7918358756045025,10665,17
202608040,clean,family_6fbe37a0a6611f64,0.688130038605582,29458,73
202608040,clean,family_c64269798048b60f,0.7043329926836291,12501,93
202608040,clean,family_f60bd4cc83d02add,0.7368691028919585,8558,84
202608040,clean,family_39f58e2fd604c61e,1.0689294338226318,61,51
202608040,clean,family_101bf32d18499c7d,0.6082681498730146,1918,95
202608040,clean,family_e97b637c75aac2b5,1.0590174198150635,156,89
202608040,clean,family_e2c30beb0d4abeae,1.1239032728161065,12995,66
202608040,clean,family_581cf690b70ed77f,0.961869614304608,3028,30
202608040,clean,family_9ccd2f467361ebab,1.0437616596613735,1789,44
202608040,clean,family_6342008bae187399,0.4458061748422509,8256,83
202608040,clean,family_8661140073b6a2ab,0.8464277982711792,266,97
202608040,clean,family_1a8ff9e18d3eabea,0.6126853842899282,1890,16
202608040,clean,family_b324bd83d2be3825,0.7619823622582642,8479,58
202608040,clean,family_23e85181dd747797,0.6758621840641417,725,99
202608040,clean,family_b3ba3218de08f591,1.3532463386437092,9580,8
202608040,clean,family_38ddaabf01adae92,0.5165829218957283,6949,12
202608040,clean,family_5405158fe7a3977d,0.6303308840151186,945,71
202608040,clean,family_e4e4467ef74cc720,0.3827100396156311,336,57
202608040,clean,family_4f1b63b3eef9f7d0,1.044254867871909,1037,75
202608040,clean,family_7a300c986fbfa9f2,0.8956332247832726,522,18
202608040,clean,family_6f0024d47bda9a44,1.0341763863295768,463,45
202608040,clean,family_746d1e0c3274827f,0.372171832071844,1191,62
202608040,clean,family_6a42731481dda124,0.9255224662073424,1084,56
202608040,clean,family_0ecded087f80d73b,1.4419785153374456,15697,61
202608040,clean,family_5facacfb4d33d062,0.5722277741700156,5721,1
202608040,clean,family_5cc4efa05e4dc250,0.5500136613845825,251,13
202608040,clean,family_4731a6d05dff34ce,1.0820712202004514,17077,15
202608040,clean,family_c3ae851031cec2bb,0.931759416738296,5610,91
202608040,clean,family_30fbd9977a220042,0.7241543231594507,48674,81
202608040,clean,family_e3c89d0945320ec5,0.7686266964814794,508,0
202608040,clean,family_f99e7467cfd91d72,1.160941850784612,639,23
202608040,clean,family_0a0ff01b239a934a,1.03727098957437,3294,55
202608040,clean,family_5ebcadebe538bd59,0.5033866167068481,166,31
202608040,clean,family_2fe71bb032cb85fe,0.5021893304910714,533,20
202608040,clean,family_e0f7e5849dbe9388,0.8160024566967754,6626,72
202608040,clean,family_c3abd4306e03adf2,0.8083900704103357,3859,34
202608040,clean,family_83b27a32aa56f9dc,0.45071234916784275,1559,68
202608040,clean,family_fa3341292470541d,0.9012380147826742,2535,22
202608040,clean,family_15b8f6d235825863,0.39713530340333925,548,2
202608040,clean,family_a95aeca85317a04d,0.769719266137978,10236,50
202608040,clean,family_3dffb074803c8f80,0.3965591786599776,7309,47
202608040,clean,family_1cfa4116628ae42e,0.586236917658856,1026,94
202608040,clean,family_f53ae103dc0def58,0.9477521888370083,1238,26
202608040,clean,family_3db848c291e71542,0.43786499024641634,1287,14
202608040,clean,family_76f3986b08ecfc19,0.9130887330127367,3583,10
202608040,clean,family_121eefce620403f7,0.7324053240567558,13214,36
202608040,clean,family_8aff46e64d1c8360,1.0086588710809326,20977,33
202608040,clean,family_debbecc1e7f77f3e,0.7073342093599054,4952,4
202608040,clean,family_f19aa9a5e722eb61,0.42306590344109785,1779,49
202608040,clean,family_d0b38ee50d018148,0.8442594064497094,1815,92
202608040,clean,family_aad2d66dec95dc7a,0.5549694541338328,1036,78
202608040,clean,family_59add5a121b9a616,0.6794632891107937,985,59
202608040,clean,family_c2d4ffa1539bdafe,1.1034071847726192,12091,27
202608040,clean,family_58a5b18cf3751bf1,0.7018835207667965,1157,6
