condition,variant,seed,edge_recall_target,edge_recall_observed,fp_injection_ratio_target,fp_false_edge_count,fp_injection_ratio_observed,fp_formula,files_retained,reference_files,reference_families,reference_multi_member_families,residual_known_cross_split_family_count,residual_contaminated_test_family_rate,residual_contaminated_test_file_rate,split_train_ratio,split_validation_ratio,split_test_ratio,split_abs_ratio_error,split_ratio_l1_error,reassignment_fraction_vs_file_split,inferred_component_count,inferred_nontrivial_component_count,largest_inferred_component,component_size_median,component_size_p95,reference_family_recovery_rate,pairwise_relation_precision,pairwise_same_family_recall,pairwise_relation_f1,over_merge_component_count,over_merge_component_rate,under_split_reference_family_count,under_split_rate,runtime_s,peak_rss_mb_process
file_level_random,baseline,20260819000,,0.0,,0,0.0,false_positive_edges / (reference_positive_edges + false_positive_edges),178561,178561,140427,20797,5051,0.2947423703098559,0.315076164874552,0.8000011200654118,0.09999943996729409,0.09999943996729409,1.120065411752691e-06,2.2401308235886486e-06,0.0,178561,0,1,1.0,1.0,0.0,1.0,0.0,0.0,0,0.0,20797,1.0,5.2299947128631175e-06,110.6796875
file_level_random,baseline,20260819001,,0.0,,0,0.0,false_positive_edges / (reference_positive_edges + false_positive_edges),178561,178561,140427,20797,5023,0.2927156177156177,0.31238799283154123,0.8000011200654118,0.09999943996729409,0.09999943996729409,1.120065411752691e-06,2.2401308235886486e-06,0.0,178561,0,1,1.0,1.0,0.0,1.0,0.0,0.0,0,0.0,20797,1.0,1.963999238796532e-06,110.6796875
file_level_random,baseline,20260819002,,0.0,,0,0.0,false_positive_edges / (reference_positive_edges + false_positive_edges),178561,178561,140427,20797,5025,0.2936192590861283,0.3153001792114695,0.8000011200654118,0.09999943996729409,0.09999943996729409,1.120065411752691e-06,2.2401308235886486e-06,0.0,178561,0,1,1.0,1.0,0.0,1.0,0.0,0.0,0,0.0,20797,1.0,2.6749985408969223e-06,110.6796875
file_level_random,baseline,20260819003,,0.0,,0,0.0,false_positive_edges / (reference_positive_edges + false_positive_edges),178561,178561,140427,20797,5064,0.29596727060198713,0.31709229390681004,0.8000011200654118,0.09999943996729409,0.09999943996729409,1.120065411752691e-06,2.2401308235886486e-06,0.0,178561,0,1,1.0,1.0,0.0,1.0,0.0,0.0,0,0.0,20797,1.0,3.035005647689104e-06,110.6796875
file_level_random,baseline,20260819004,,0.0,,0,0.0,false_positive_edges / (reference_positive_edges + false_positive_edges),178561,178561,140427,20797,5065,0.2955765639589169,0.3163082437275986,0.8000011200654118,0.09999943996729409,0.09999943996729409,1.120065411752691e-06,2.2401308235886486e-06,0.0,178561,0,1,1.0,1.0,0.0,1.0,0.0,0.0,0,0.0,20797,1.0,1.6740013961680233e-06,110.6796875
file_level_random,baseline,20260819005,,0.0,,0,0.0,false_positive_edges / (reference_positive_edges + false_positive_edges),178561,178561,140427,20797,5033,0.2941726576655561,0.3147401433691756,0.8000011200654118,0.09999943996729409,0.09999943996729409,1.120065411752691e-06,2.2401308235886486e-06,0.0,178561,0,1,1.0,1.0,0.0,1.0,0.0,0.0,0,0.0,20797,1.0,2.263994247186929e-06,110.6796875
file_level_random,baseline,20260819006,,0.0,,0,0.0,false_positive_edges / (reference_positive_edges + false_positive_edges),178561,178561,140427,20797,5057,0.29505805472898067,0.3168122759856631,0.8000011200654118,0.09999943996729409,0.09999943996729409,1.120065411752691e-06,2.2401308235886486e-06,0.0,178561,0,1,1.0,1.0,0.0,1.0,0.0,0.0,0,0.0,20797,1.0,3.5370030673220754e-06,110.6796875
file_level_random,baseline,20260819007,,0.0,,0,0.0,false_positive_edges / (reference_positive_edges + false_positive_edges),178561,178561,140427,20797,4999,0.2915718868474774,0.3119399641577061,0.8000011200654118,0.09999943996729409,0.09999943996729409,1.120065411752691e-06,2.2401308235886486e-06,0.0,178561,0,1,1.0,1.0,0.0,1.0,0.0,0.0,0,0.0,20797,1.0,6.021997251082212e-06,110.6796875
file_level_random,baseline,20260819008,,0.0,,0,0.0,false_positive_edges / (reference_positive_edges + false_positive_edges),178561,178561,140427,20797,5126,0.2996259060088847,0.32196460573476704,0.8000011200654118,0.09999943996729409,0.09999943996729409,1.120065411752691e-06,2.2401308235886486e-06,0.0,178561,0,1,1.0,1.0,0.0,1.0,0.0,0.0,0,0.0,20797,1.0,2.3650063667446375e-06,110.6796875
file_level_random,baseline,20260819009,,0.0,,0,0.0,false_positive_edges / (reference_positive_edges + false_positive_edges),178561,178561,140427,20797,5055,0.2953376957232998,0.3161402329749104,0.8000011200654118,0.09999943996729409,0.09999943996729409,1.120065411752691e-06,2.2401308235886486e-06,0.0,178561,0,1,1.0,1.0,0.0,1.0,0.0,0.0,0,0.0,20797,1.0,2.453998604323715e-06,110.6796875
file_level_random,baseline,20260819010,,0.0,,0,0.0,false_positive_edges / (reference_positive_edges + false_positive_edges),178561,178561,140427,20797,5082,0.2965167162611588,0.3168122759856631,0.8000011200654118,0.09999943996729409,0.09999943996729409,1.120065411752691e-06,2.2401308235886486e-06,0.0,178561,0,1,1.0,1.0,0.0,1.0,0.0,0.0,0,0.0,20797,1.0,3.886998456437141e-06,110.6796875
file_level_random,baseline,20260819011,,0.0,,0,0.0,false_positive_edges / (reference_positive_edges + false_positive_edges),178561,178561,140427,20797,5025,0.29348206985165287,0.314796146953405,0.8000011200654118,0.09999943996729409,0.09999943996729409,1.120065411752691e-06,2.2401308235886486e-06,0.0,178561,0,1,1.0,1.0,0.0,1.0,0.0,0.0,0,0.0,20797,1.0,2.1840023691765964e-06,110.6796875
file_level_random,baseline,20260819012,,0.0,,0,0.0,false_positive_edges / (reference_positive_edges + false_positive_edges),178561,178561,140427,20797,5040,0.2944613227389577,0.3149081541218638,0.8000011200654118,0.09999943996729409,0.09999943996729409,1.120065411752691e-06,2.2401308235886486e-06,0.0,178561,0,1,1.0,1.0,0.0,1.0,0.0,0.0,0,0.0,20797,1.0,1.5730038285255432e-06,110.6796875
file_level_random,baseline,20260819013,,0.0,,0,0.0,false_positive_edges / (reference_positive_edges + false_positive_edges),178561,178561,140427,20797,5052,0.29555958579535485,0.3177083333333333,0.8000011200654118,0.09999943996729409,0.09999943996729409,1.120065411752691e-06,2.2401308235886486e-06,0.0,178561,0,1,1.0,1.0,0.0,1.0,0.0,0.0,0,0.0,20797,1.0,3.3059986890293658e-06,110.6796875
file_level_random,baseline,20260819014,,0.0,,0,0.0,false_positive_edges / (reference_positive_edges + false_positive_edges),178561,178561,140427,20797,5148,0.3008063573682365,0.32252464157706096,0.8000011200654118,0.09999943996729409,0.09999943996729409,1.120065411752691e-06,2.2401308235886486e-06,0.0,178561,0,1,1.0,1.0,0.0,1.0,0.0,0.0,0,0.0,20797,1.0,3.2559983083046973e-06,110.6796875
file_level_random,baseline,20260819015,,0.0,,0,0.0,false_positive_edges / (reference_positive_edges + false_positive_edges),178561,178561,140427,20797,5089,0.29711583372255956,0.3173163082437276,0.8000011200654118,0.09999943996729409,0.09999943996729409,1.120065411752691e-06,2.2401308235886486e-06,0.0,178561,0,1,1.0,1.0,0.0,1.0,0.0,0.0,0,0.0,20797,1.0,3.207002009730786e-06,110.6796875
file_level_random,baseline,20260819016,,0.0,,0,0.0,false_positive_edges / (reference_positive_edges + false_positive_edges),178561,178561,140427,20797,5106,0.29788227057931277,0.3192204301075269,0.8000011200654118,0.09999943996729409,0.09999943996729409,1.120065411752691e-06,2.2401308235886486e-06,0.0,178561,0,1,1.0,1.0,0.0,1.0,0.0,0.0,0,0.0,20797,1.0,3.235996700823307e-06,110.6796875
file_level_random,baseline,20260819017,,0.0,,0,0.0,false_positive_edges / (reference_positive_edges + false_positive_edges),178561,178561,140427,20797,5034,0.29423110643520956,0.31591621863799285,0.8000011200654118,0.09999943996729409,0.09999943996729409,1.120065411752691e-06,2.2401308235886486e-06,0.0,178561,0,1,1.0,1.0,0.0,1.0,0.0,0.0,0,0.0,20797,1.0,5.6110002333298326e-06,110.6796875
file_level_random,baseline,20260819018,,0.0,,0,0.0,false_positive_edges / (reference_positive_edges + false_positive_edges),178561,178561,140427,20797,5104,0.2980089916506101,0.31810035842293904,0.8000011200654118,0.09999943996729409,0.09999943996729409,1.120065411752691e-06,2.2401308235886486e-06,0.0,178561,0,1,1.0,1.0,0.0,1.0,0.0,0.0,0,0.0,20797,1.0,2.064000000245869e-06,110.6796875
file_level_random,baseline,20260819019,,0.0,,0,0.0,false_positive_edges / (reference_positive_edges + false_positive_edges),178561,178561,140427,20797,4965,0.2910999061913696,0.3138440860215054,0.8000011200654118,0.09999943996729409,0.09999943996729409,1.120065411752691e-06,2.2401308235886486e-06,0.0,178561,0,1,1.0,1.0,0.0,1.0,0.0,0.0,0,0.0,20797,1.0,1.963999238796532e-06,110.6796875
file_level_random,baseline,20260819020,,0.0,,0,0.0,false_positive_edges / (reference_positive_edges + false_positive_edges),178561,178561,140427,20797,5066,0.29601495851349774,0.31826836917562723,0.8000011200654118,0.09999943996729409,0.09999943996729409,1.120065411752691e-06,2.2401308235886486e-06,0.0,178561,0,1,1.0,1.0,0.0,1.0,0.0,0.0,0,0.0,20797,1.0,2.1140003809705377e-06,110.6796875
file_level_random,baseline,20260819021,,0.0,,0,0.0,false_positive_edges / (reference_positive_edges + false_positive_edges),178561,178561,140427,20797,5066,0.2956521739130435,0.31569220430107525,0.8000011200654118,0.09999943996729409,0.09999943996729409,1.120065411752691e-06,2.2401308235886486e-06,0.0,178561,0,1,1.0,1.0,0.0,1.0,0.0,0.0,0,0.0,20797,1.0,2.2840031306259334e-06,110.6796875
file_level_random,baseline,20260819022,,0.0,,0,0.0,false_positive_edges / (reference_positive_edges + false_positive_edges),178561,178561,140427,20797,4935,0.2887991573033708,0.3111559139784946,0.8000011200654118,0.09999943996729409,0.09999943996729409,1.120065411752691e-06,2.2401308235886486e-06,0.0,178561,0,1,1.0,1.0,0.0,1.0,0.0,0.0,0,0.0,20797,1.0,2.8650028980337083e-06,110.6796875
file_level_random,baseline,20260819023,,0.0,,0,0.0,false_positive_edges / (reference_positive_edges + false_positive_edges),178561,178561,140427,20797,4980,0.29017597016664726,0.309195788530466,0.8000011200654118,0.09999943996729409,0.09999943996729409,1.120065411752691e-06,2.2401308235886486e-06,0.0,178561,0,1,1.0,1.0,0.0,1.0,0.0,0.0,0,0.0,20797,1.0,4.007997631561011e-06,110.6796875
file_level_random,baseline,20260819024,,0.0,,0,0.0,false_positive_edges / (reference_positive_edges + false_positive_edges),178561,178561,140427,20797,5078,0.29643899591360184,0.3167002688172043,0.8000011200654118,0.09999943996729409,0.09999943996729409,1.120065411752691e-06,2.2401308235886486e-06,0.0,178561,0,1,1.0,1.0,0.0,1.0,0.0,0.0,0,0.0,20797,1.0,4.90999809699133e-06,110.6796875
