family_id,pair_class,token_count,clean_nll,unrelated_nll,same_family_nll,leakage_gain_unrelated_minus_same,same_gain_clean_minus_same,generic_gain_clean_minus_unrelated,same_interval_4gram_jaccard,same_interval_8gram_jaccard,same_token_8gram_jaccard,same_token_16gram_jaccard,same_token_32gram_jaccard,same_normalized_lcs,same_pitch_class_cosine
family_e3c89d0945320ec5,structurally_nonexact,508,0.7872538153580794,0.8013662353275329,0.7052207797218183,0.09614545560571464,0.08203303563626108,-0.01411241996945356,0.5294117647058824,0.41630901287553645,0.6018518518518519,0.39010543390105434,0.24592592592592594,0.1341743119266055,1.0000000000000002
family_5facacfb4d33d062,structurally_nonexact,5721,0.6361877999768727,0.6404661486520152,0.5114634293470948,0.12900271930492047,0.12472437062977793,-0.00427834867514254,1.0,1.0,1.0,1.0,1.0,1.0,1.0
family_15b8f6d235825863,canonical_event_equivalent,548,0.423977340116118,0.4167128476130701,0.3319528524167926,0.08475999519627747,0.09202448769932536,0.007264492503047892,1.0,1.0,1.0,1.0,1.0,1.0,1.0
family_78031f033e192cce,structurally_nonexact,5759,0.7657214499957834,0.7764102805990404,0.52669426442614,0.2497160161729004,0.23902718556964342,-0.010688830603256982,0.24183006535947713,0.11377245508982035,0.5112490302560124,0.29751511081262594,0.16851168511685116,0.09378185524974515,1.0
family_debbecc1e7f77f3e,structurally_nonexact,4952,0.7478203142827149,0.7391368084430181,0.5649398792882119,0.17419692915480622,0.18288043499450302,0.008683505839696792,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999
family_5d6a15b20dff7233,structurally_nonexact,5203,0.6823533507532599,0.6763619629991865,0.30995927895216735,0.36640268404701914,0.3723940718010925,0.005991387754073374,1.0,1.0,1.0,1.0,1.0,1.0,1.0
family_58a5b18cf3751bf1,structurally_nonexact,1157,0.716659024568155,0.697257438557047,0.4531859750278537,0.24407146352919334,0.2634730495403013,0.019401586011107974,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002
family_da2cbb03fa208ffc,structurally_nonexact,377,0.48641082781484757,0.4921537826116058,0.4084788694463927,0.08367491316521308,0.07793195836845485,-0.005742954796758237,1.0,1.0,1.0,1.0,1.0,1.0,1.0
family_b3ba3218de08f591,structurally_nonexact,9580,1.3570284466529439,1.3561508191693716,1.1929902604493983,0.16316055871997337,0.1640381862035456,0.0008776274835722297,0.9441624365482234,0.9035532994923858,0.9669669669669669,0.950950950950951,0.918918918918919,0.8391038696537678,0.9998044183718388
family_9edbfcdbf27d8472,structurally_nonexact,15674,1.349485504095347,1.344520394761835,1.1680600439937834,0.17646035076805155,0.18142546010156368,0.00496510933351213,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999
family_76f3986b08ecfc19,structurally_nonexact,3583,0.945862088350709,0.9847167135283096,0.5672919183001871,0.4174247952281225,0.37857017005052185,-0.03885462517760063,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002
family_5aaa5f6f546aa704,structurally_nonexact,2491,0.9880715095101951,0.9648588846745332,0.7216322086836205,0.24322667599091263,0.2664393008265745,0.023212624835661888,1.0,1.0,1.0,1.0,1.0,1.0,1.0
family_38ddaabf01adae92,structurally_nonexact,6949,0.534934809651856,0.522088862542066,0.33546585233433274,0.18662301020773325,0.1994689573175233,0.012845947109790035,1.0,1.0,1.0,1.0,1.0,1.0,1.0
family_5cc4efa05e4dc250,structurally_nonexact,251,0.6125020980834961,0.6042713125546774,0.4833541015783946,0.12091721097628277,0.1291479965051015,0.00823078552881873,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002
family_3db848c291e71542,structurally_nonexact,1287,0.5388886679626752,0.5007626384118468,0.28229931352731935,0.2184633248845274,0.25658935443535585,0.038126029550828444,1.0,1.0,0.5093632958801498,0.3806228373702422,0.17417417417417416,0.11685116851168512,1.0000000000000002
family_4731a6d05dff34ce,structurally_nonexact,17077,1.0887969219669011,1.06803613420983,0.7878396480874751,0.2801964861223548,0.30095727387942606,0.020760787757071242,0.9641025641025641,0.9633507853403142,0.962,0.9616935483870968,0.9610655737704918,0.9989690721649485,0.999747861074261
