file_id,work_id,component_id
0,0,0
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,2,2
11,2,2
12,2,2
13,2,2
14,2,2
15,3,3
16,4,4
17,4,4
18,4,4
19,4,4
20,4,4
21,4,4
22,5,5
23,5,5
24,6,6
25,6,6
26,6,6
27,6,6
28,6,6
29,6,6
30,7,47
31,8,7
32,8,7
33,8,7
34,9,8
35,10,9
36,10,9
37,10,9
38,11,10
39,12,11
40,12,11
41,13,12
42,14,13
43,14,13
44,14,13
45,15,14
46,15,14
47,16,15
48,16,15
49,16,16
50,17,17
51,17,17
52,18,18
53,18,19
54,19,20
55,19,20
56,19,20
57,20,21
58,20,22
59,20,22
60,20,21
61,20,22
62,20,22
63,21,23
64,22,24
65,22,24
66,22,24
67,22,24
68,22,24
69,22,24
70,23,25
71,24,26
72,25,27
73,25,27
74,25,27
75,25,27
76,25,27
77,25,27
78,26,9
79,27,28
80,27,28
81,28,29
82,28,29
83,28,30
84,29,31
85,29,32
86,29,31
87,30,33
88,31,34
89,31,34
90,31,34
91,31,34
92,31,34
93,31,34
94,31,34
95,31,34
96,31,34
97,32,35
98,32,35
99,32,35
100,32,35
101,32,35
102,33,36
103,34,37
104,34,37
105,34,37
106,34,37
107,34,37
108,34,37
109,35,38
110,35,38
111,36,39
112,36,39
113,36,39
114,36,39
115,36,39
116,36,39
117,37,40
118,38,41
119,38,41
120,38,41
121,39,42
122,40,43
123,40,43
124,40,43
125,41,44
126,42,45
127,42,45
128,43,46
129,44,47
130,44,47
131,44,47
132,45,48
133,45,48
134,46,49
135,46,49
136,47,50
137,47,50
138,47,50
139,48,51
140,48,51
141,49,52
142,49,52
143,49,52
144,50,53
145,50,53
146,50,53
147,51,54
148,52,55
149,52,55
150,52,55
151,52,55
152,52,55
153,52,55
154,53,56
155,54,57
156,55,58
157,55,58
158,55,58
159,55,58
160,55,58
161,55,58
162,56,59
163,56,59
164,57,60
165,57,60
166,58,61
167,58,61
168,58,61
169,59,62
170,59,62
171,59,62
172,59,62
173,59,62
174,59,62
175,59,63
176,59,62
177,59,62
178,59,62
179,60,64
180,61,65
181,62,66
182,62,66
183,62,66
184,62,66
185,62,66
186,62,66
187,62,66
188,63,67
189,64,68
190,65,69
191,65,69
192,65,69
193,66,70
194,67,71
195,68,72
196,68,72
197,68,72
198,69,73
199,70,74
200,70,74
201,70,74
202,70,74
203,70,74
204,70,74
205,70,74
206,70,74
207,71,75
208,72,76
209,72,77
210,72,78
211,72,78
212,72,79
213,72,79
214,72,79
215,72,79
216,72,79
217,72,80
218,72,81
219,72,79
220,72,82
221,72,79
222,72,79
223,73,83
224,73,83
225,74,84
226,74,84
227,75,85
228,75,85
229,75,85
230,75,85
231,75,85
232,75,85
233,75,85
234,75,85
235,75,85
236,76,86
237,76,86
238,76,86
239,76,86
240,77,87
241,77,87
242,78,88
243,78,88
244,79,89
245,79,89
246,79,89
247,80,96
248,80,90
249,80,96
250,80,96
251,80,95
252,80,91
253,80,96
254,80,95
255,80,92
256,80,96
257,80,96
258,80,96
259,80,93
260,80,94
261,80,95
262,80,95
263,80,95
264,80,96
265,80,96
266,80,96
267,80,96
268,80,96
269,80,96
270,80,96
271,80,95
272,80,96
273,80,96
274,81,97
275,81,97
276,81,97
277,82,98
278,82,99
279,82,98
280,83,100
281,83,100
282,83,100
283,84,101
284,85,102
285,85,103
286,85,103
287,85,103
288,85,103
289,85,104
290,85,103
291,85,105
292,85,103
293,85,106
294,85,107
295,85,108
296,85,109
297,85,103
298,85,110
299,85,103
300,85,103
301,86,111
302,86,111
303,86,111
304,86,111
305,86,111
306,86,111
307,86,111
308,86,111
309,86,111
310,87,112
311,88,113
312,88,113
313,88,113
314,88,113
315,88,113
316,88,113
317,88,113
318,88,114
319,88,113
320,88,113
321,88,113
322,89,115
323,89,115
324,89,115
325,89,115
326,89,115
327,90,116
328,90,116
329,90,116
330,90,116
331,90,116
332,91,117
333,91,117
334,91,117
335,91,117
336,91,117
337,91,117
338,91,117
339,92,118
340,93,119
341,93,119
342,93,119
343,93,119
344,93,119
345,94,120
346,95,121
347,96,122
348,97,123
349,97,123
350,98,124
351,98,124
352,98,124
353,98,124
354,98,124
355,98,124
356,98,124
357,98,124
358,98,124
359,99,125
360,100,126
361,100,126
362,100,126
363,100,126
364,100,126
365,100,126
366,100,126
367,100,126
368,101,127
369,101,127
370,101,127
371,101,127
372,101,128
373,101,127
374,101,127
375,101,127
376,101,127
377,101,127
378,101,127
379,101,129
380,101,127
381,101,127
382,101,127
383,101,130
384,101,127
385,101,127
386,101,127
387,101,128
388,101,127
389,102,131
390,102,131
391,102,131
392,102,131
393,102,131
394,102,131
395,102,131
396,103,132
397,103,132
398,103,132
399,103,132
400,103,132
401,103,132
402,103,132
403,103,132
404,103,132
405,103,132
406,103,132
407,104,133
408,104,133
409,104,133
410,104,134
411,104,133
412,104,133
413,104,133
414,104,133
415,104,133
416,105,135
417,105,135
418,105,135
419,105,135
420,105,135
421,105,135
422,105,135
423,105,135
424,105,135
425,106,136
426,106,137
427,106,137
428,107,138
429,107,138
430,107,138
431,107,138
432,107,138
433,107,138
434,107,138
435,107,138
436,107,138
437,108,139
438,108,140
439,109,141
440,109,141
441,110,142
442,110,142
443,111,143
444,111,144
445,112,145
446,113,146
447,114,147
448,115,148
449,116,149
450,117,150
451,118,151
452,118,151
453,118,151
454,118,151
455,118,151
456,118,151
457,118,151
458,118,151
459,118,151
460,118,151
461,118,151
462,118,151
463,118,151
464,118,151
465,118,151
466,118,151
467,118,151
468,118,151
469,119,152
470,119,152
471,119,152
472,119,152
473,119,152
474,120,153
475,120,153
476,120,153
477,121,154
478,121,154
479,121,154
480,121,154
481,121,154
482,121,154
483,121,154
484,121,154
485,121,154
486,121,154
487,121,154
488,121,154
489,122,155
490,122,155
491,122,155
492,122,155
493,122,155
494,122,155
495,122,155
496,122,155
497,122,155
498,123,156
499,123,156
500,123,156
501,123,156
502,123,156
503,124,159
504,124,157
505,124,158
506,124,159
507,124,158
508,124,159
509,124,159
510,124,159
511,124,159
512,124,159
513,124,159
514,124,159
515,124,159
516,124,159
517,124,159
518,124,159
519,124,159
520,124,159
521,124,159
522,124,159
523,124,158
524,124,158
525,124,159
526,124,159
527,124,159
528,125,160
529,125,160
530,125,160
531,125,160
532,126,161
533,126,161
534,126,161
535,126,161
536,126,161
537,126,161
538,126,161
539,126,161
540,126,161
541,126,161
542,126,161
543,126,161
544,126,161
545,127,162
546,127,162
547,127,162
548,127,162
549,127,162
550,127,162
551,127,162
552,127,162
553,127,162
554,127,162
555,127,162
556,128,163
557,129,165
558,129,165
559,129,164
560,129,165
561,129,165
562,129,165
563,129,166
564,129,165
565,129,165
566,129,165
567,129,165
568,129,165
569,129,165
570,129,165
571,129,165
572,129,165
573,129,165
574,129,165
575,129,165
576,129,165
577,129,165
578,129,165
579,130,167
580,130,167
581,130,167
582,130,167
583,130,167
584,130,167
585,130,167
586,130,167
587,130,167
588,130,167
589,130,167
590,131,168
591,131,168
592,131,168
593,132,170
594,132,170
595,132,170
596,132,169
597,132,170
598,132,170
599,132,170
600,132,169
601,132,169
602,132,170
603,132,170
604,132,170
605,132,170
606,132,170
607,132,170
608,132,170
609,132,170
610,132,170
611,132,169
612,132,170
613,132,169
614,132,170
615,132,169
616,132,170
617,132,169
618,132,169
619,132,170
620,132,170
621,133,171
622,133,171
623,133,171
624,133,171
625,133,171
626,134,172
627,134,172
628,134,172
629,134,172
630,134,172
631,134,172
632,134,172
