model,condition,metric,mean,median,n_families,null
transformer_l,clean,bar_pair_similarity,0.05205430711449524,0.031079427818558252,59,False
transformer_l,clean,si_short,0.0004563233376792699,0.0,59,False
transformer_l,clean,si_medium,0.012626262626262624,0.0,5,False
transformer_l,clean,si_long,0.003968253968253968,0.003968253968253968,1,False
transformer_l,clean,motif_repetition_rate,0.00040952380952380955,0.0,100,False
transformer_l,clean,repeated_pattern_count,0.002,0.0,100,False
transformer_l,clean,mean_repeated_pattern_length,1.2,1.2,2,False
transformer_l,clean,longest_repeated_pattern_length,0.002,0.0,100,False
transformer_l,clean,self_similarity_offdiag_mean,0.04871915077515817,0.02904040404040404,59,False
transformer_l,clean,self_similarity_high_fraction,0.012665611224933256,0.0,59,False
transformer_l,clean,groove_consistency,0.2581983437323126,0.21927239427239426,59,False
transformer_l,clean,grooving_pattern_similarity,0.2672703583131044,0.23648302314968983,59,False
transformer_l,clean,ioi_mean,2.019351442007338,1.9529831443066739,100,False
transformer_l,clean,ioi_variance,0.6277774993848663,0.22342592592592594,100,False
transformer_l,clean,ioi_entropy,0.5607414541270102,0.5137563770619524,100,False
transformer_l,clean,ioi_jsd_to_receiver,0.1503655717051381,0.13174313932880072,100,False
transformer_l,clean,duration_jsd_to_receiver,0.1879377409078948,0.1691050355165512,100,False
transformer_l,clean,duration_entropy,1.5130455967600098,1.4935235251585384,100,False
transformer_l,clean,onset_pattern_entropy,0.3938539676702055,0.1,100,False
transformer_l,clean,rhythmic_density,19.871327272727275,23.333333333333332,100,False
transformer_l,clean,syncopation,,,0,True
transformer_l,clean,pitch_class_entropy,2.275004239956305,2.3194941041971484,100,False
transformer_l,clean,pitch_class_histogram_jsd_to_receiver,0.22553984728943824,0.21619275555898956,100,False
transformer_l,clean,scale_consistency,0.9364903243616288,0.9571618357487923,100,False
transformer_l,clean,pitch_interval_mean,0.22291748302312644,0.23775220233020744,100,False
transformer_l,clean,pitch_interval_variance,221.58748471658149,206.3158564814815,100,False
transformer_l,clean,pitch_interval_jsd_to_receiver,0.46022033195397993,0.45630201430709116,100,False
transformer_l,clean,pitch_range,34.89866666666667,35.233333333333334,100,False
transformer_l,clean,used_pitch_classes,6.138666666666666,6.2,100,False
transformer_l,clean,tonal_key_consistency,0.9364903243616288,0.9571618357487923,100,False
transformer_l,clean,chord_progression_irregularity,,,0,True
transformer_l,clean,chord_ngram_distribution,,,0,True
transformer_l,clean,chord_transition_entropy,,,0,True
transformer_l,clean,harmonic_tonal_distance,,,0,True
transformer_l,clean,chord_diversity,,,0,True
transformer_l,clean,note_density,19.871327272727275,23.333333333333332,100,False
transformer_l,clean,polyphony,3.612746980058499,3.151154401154401,100,False
transformer_l,clean,polyphony_rate,0.728452432795763,0.7734944684944685,100,False
transformer_l,clean,empty_beat_rate,0.6020527958152957,0.625,100,False
transformer_l,clean,empty_measure_rate,0.01236933621933622,0.0,100,False
transformer_l,clean,qualified_note_ratio,0.989275436640654,1.0,100,False
transformer_l,clean,average_note_duration,3.6830730953687585,3.1166859903381647,100,False
transformer_l,clean,duration_variance,17.175078025606027,6.2623999999999995,100,False
transformer_l,clean,pitch_range,34.89866666666667,35.233333333333334,100,False
transformer_l,clean,used_pitch_classes,6.138666666666666,6.2,100,False
transformer_l,clean,notes_per_bar,19.871327272727275,23.333333333333332,100,False
transformer_l,clean,onset_density,0.39794720418470425,0.375,100,False
transformer_l,clean,pitch_class_jsd,0.22553984728943824,0.21619275555898956,100,False
transformer_l,clean,pitch_interval_jsd,0.46022033195397993,0.45630201430709116,100,False
transformer_l,clean,ioi_jsd,0.1503655717051381,0.13174313932880072,100,False
transformer_l,clean,duration_jsd,0.1879377409078948,0.1691050355165512,100,False
transformer_l,clean,density_wasserstein,10.804542508250824,9.09917491749175,100,False
transformer_l,clean,ioi_wasserstein,0.49760927574076086,0.3465247524752475,100,False
transformer_l,clean,duration_wasserstein,1.5455044884488454,1.111125412541254,100,False
transformer_l,clean,pitch_interval_wasserstein,4.1539080528052805,3.8008877887788777,100,False
transformer_l,unrelated_donor,bar_pair_similarity,0.04776124822340068,0.024908955275803103,62,False
transformer_l,unrelated_donor,si_short,0.00017921146953405015,0.0,62,False
transformer_l,unrelated_donor,si_medium,0.0013950892857142857,0.0,8,False
transformer_l,unrelated_donor,si_long,0.02125850340136054,0.02125850340136054,1,False
transformer_l,unrelated_donor,motif_repetition_rate,0.0004561403508771929,0.0,100,False
transformer_l,unrelated_donor,repeated_pattern_count,0.003333333333333333,0.0,100,False
transformer_l,unrelated_donor,mean_repeated_pattern_length,1.0,1.0,1,False
transformer_l,unrelated_donor,longest_repeated_pattern_length,0.0013333333333333333,0.0,100,False
transformer_l,unrelated_donor,self_similarity_offdiag_mean,0.04455457016225369,0.023249107803674368,62,False
transformer_l,unrelated_donor,self_similarity_high_fraction,0.008548211399255042,0.0,62,False
transformer_l,unrelated_donor,groove_consistency,0.257269566405957,0.2268679353054353,62,False
transformer_l,unrelated_donor,grooving_pattern_similarity,0.26431410472030664,0.22774095117845117,62,False
transformer_l,unrelated_donor,ioi_mean,2.098628797265547,1.901111111111111,100,False
transformer_l,unrelated_donor,ioi_variance,1.0084231834781845,0.23110015117157978,100,False
transformer_l,unrelated_donor,ioi_entropy,0.5991980043999099,0.5505154129694172,100,False
transformer_l,unrelated_donor,ioi_jsd_to_receiver,0.15341814813079055,0.12826582553831267,100,False
transformer_l,unrelated_donor,duration_jsd_to_receiver,0.19132951582511115,0.1629646652329326,100,False
transformer_l,unrelated_donor,duration_entropy,1.530526193344783,1.5848518977586417,100,False
transformer_l,unrelated_donor,onset_pattern_entropy,0.4072476630345636,0.2,100,False
transformer_l,unrelated_donor,rhythmic_density,19.623658315265747,22.5,100,False
transformer_l,unrelated_donor,syncopation,,,0,True
transformer_l,unrelated_donor,pitch_class_entropy,2.275566537702175,2.3304941842397957,100,False
transformer_l,unrelated_donor,pitch_class_histogram_jsd_to_receiver,0.22262635227151992,0.20076598610300778,100,False
transformer_l,unrelated_donor,scale_consistency,0.9350912165129557,0.9511328502415459,100,False
transformer_l,unrelated_donor,pitch_interval_mean,0.24475490266166336,0.23079710144927534,100,False
transformer_l,unrelated_donor,pitch_interval_variance,227.52718819267415,207.53993055555557,100,False
